Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
The Town Of Light,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,10 GB,69.5,10 GB,33.5,2.5,2.9,38.5,69.5,1024.0,1050.0,11.5,18.0,36.0,96.0
Metro: Exodus - Sam's Story,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,50 GB,36.5,50 GB,27.0,6.0,3.5,18.0,36.5,2048.0,1476.0,11.6,39.5,69.0,132.85
Lost Soul Aside,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,30 GB,66.0,30 GB,45.0,2.5,2.6,33.5,66.0,1408.0,1029.0,10.5,21.0,33.5,123.65
Half-Life 2: Episode 2,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1.5 GB,0.0,1.5 GB,180.0,1.0,2.5835,110.0,0.0,128.0,200.0,10.0,2.0,3.0,3.2
Haunted House 2015,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,8 GB,71.0,8 GB,65.0,2.0,2.58,45.0,71.0,640.0,915.5,10.55,18.5,28.0,90.6
Railway Empire,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,7 GB,69.5,7 GB,45.0,4.0,3.05,32.0,69.5,1536.0,1101.0,11.0,26.0,56.0,140.95
Skyhill: Black Mist,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,70.0,4 GB,45.0,2.0,2.85,38.5,70.0,384.0,865.0,10.05,10.5,16.0,55.35
Broomstick League,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,5 GB,33.5,5 GB,55.0,2.5,3.45,27.0,33.5,1024.0,1187.5,11.1,16.5,37.0,76.0
Command & Conquer: Generals,Windows 98,Windows XP 32-bit,DirectX 9,2 GB,0.0,2 GB,180.0,1.0,1.665,180.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
In Other Waters,Windows 7 32-bit,Windows 10 64-bit,DirectX 10,0MB,70.0,0MB,55.0,2.0,2.85,38.5,70.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Tom Clancy: Ghost Recon Future Soldier: Raven Strike,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,25 GB,66.5,25 GB,77.5,2.0,2.83,45.0,66.5,768.0,650.0,10.55,4.0,12.5,13.6
The Guild 3,Windows 7 32-bit,Windows 7 64-bit,DirectX 11,5 GB,69.5,4 GB,65.0,2.0,2.9,38.5,69.5,1664.0,918.5,11.0,23.5,43.0,130.95
Unholy Heights,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,0.0,0MB,90.0,1.0,1.665,155.0,0.0,64.0,100.0,9.0,0.0,0.0,1.6
Civilization: Beyond Earth,Windows Vista 32-bit,Windows 7 64-bit,DirectX 11,8 GB,30.5,8 GB,77.5,2.0,1.965,65.0,30.5,1152.0,850.0,10.55,3.0,4.5,27.200000000000003
Half Life 2 Deathmatch,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,0.0,1 GB,155.0,1.0,2.075,130.0,0.0,32.0,166.5,3.5,0.0,0.0,1.35
Elite Dangerous: Horizons,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,7 GB,52.5,7 GB,65.0,4.0,3.85,27.0,52.5,704.0,949.5,10.05,14.0,33.5,113.55
Rainbow Six: Parasite,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,50 GB,67.0,50 GB,38.5,3.0,3.2,32.0,67.0,1024.0,1050.0,11.5,18.0,36.0,96.0
Mount and Blade: Warband,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,0.0,1 GB,155.0,1.0,2.9,77.5,0.0,128.0,400.0,9.0,0.0,0.0,6.4
Sniper Elite: Nazi Zombie Army,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,5 GB,36.0,5 GB,90.0,1.0,2.6,90.0,36.0,512.0,450.0,10.05,4.5,13.5,14.4
SCP: Blackout,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,12 GB,36.5,14 GB,27.0,6.0,3.65,27.0,36.5,4096.0,1501.5,11.6,63.5,137.5,272.2
Kitaria Fables,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,4 GB,36.5,4 GB,32.0,6.0,3.4000000000000004,18.0,36.5,1024.0,1037.5,11.0,17.5,31.5,116.4
DOTA Underlords,Windows 7 32-bit,Windows 7 64-bit,DirectX 11,7 GB,32.5,7 GB,38.5,3.0,3.35,27.0,32.5,1536.0,950.0,12.0,7.0,17.0,15.2
8Doors: Arums Afterlife Adventure,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,8 GB,67.0,8 GB,43.5,3.0,2.9000000000000004,48.5,67.0,1024.0,1250.5,11.05,21.0,50.5,112.05
Farming Simulator 2013,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,66.5,2 GB,130.0,1.0,1.95,65.0,66.5,128.0,200.0,10.5,2.0,4.0,6.4
Gigantic Army,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Sims 3: Barnacle Bay,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,155.0,1.0,2.05,65.0,66.5,192.0,137.5,9.0,0.0,0.0,4.4
Friday The 13th: The Video Game,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,4 GB,68.5,4 GB,38.5,2.0,3.55,25.0,68.5,1024.0,1237.5,11.1,15.5,49.5,79.2
Super Audio Spectrum,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Tera-Online,Windows 7 32-bit,Windows XP 64-bit,DirectX 9,42 GB,33.5,42 GB,32.0,3.0,3.65,27.0,33.5,512.0,1013.0,10.05,11.0,23.0,64.85
Police Simulator: Patrol Duty,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,8 GB,36.5,8 GB,18.0,4.0,3.55,18.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Hypercharge: Unboxed,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,13 GB,36.5,15 GB,38.5,4.0,3.3,18.0,36.5,1536.0,945.5,11.0,10.0,24.0,46.25
DISTRAINT,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Steel Division: Normandy 44 - Back to Hell,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,32 GB,67.0,32 GB,32.0,3.0,2.95,32.0,67.0,1024.0,800.0,11.0,9.0,16.0,25.6
Anno 2205,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,35 GB,69.5,35 GB,45.0,4.0,3.05,32.0,69.5,1024.0,1101.0,11.0,26.0,56.0,140.95
Flatout 4: Total Insanity,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,10 GB,67.0,10 GB,33.5,2.0,3.3,27.0,67.0,1024.0,1187.5,11.1,15.0,30.0,76.0
Vedelem: The Golden Horde,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,40 GB,36.5,40 GB,27.0,6.0,3.75,27.0,36.5,1024.0,1751.0,12.05,33.0,62.5,56.05
Harold,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Gun,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2.8 GB,0.0,2.8 GB,180.0,1.0,2.1165,130.0,0.0,128.0,166.5,9.0,0.0,0.0,2.65
Waltz of the Wizard,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,71.0,5 GB,27.0,6.0,3.05,27.0,71.0,4096.0,1501.5,11.6,63.5,137.5,272.2
Tales of Vesperia: Definitive Edition,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,25 GB,35.5,25 GB,38.5,5.0,3.05,18.0,35.5,2560.0,1376.0,11.1,25.5,86.5,192.1
Prison Simulator,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,36.5,4 GB,38.5,3.0,3.75,27.0,36.5,1536.0,1313.0,11.5,22.0,53.5,116.05
Deadly Days,Windows Vista 32-bit,Windows 10 64-bit,DirectX 10,1 GB,30.5,1 GB,155.0,1.0,2.8,55.0,30.5,768.0,950.0,11.05,5.0,11.0,39.2
Killer is Dead,Windows XP 32-bit,Windows 7 64-bit,DirectX 10,13 GB,36.5,13 GB,130.0,1.0,3.3,32.0,36.5,128.0,200.0,10.0,2.0,3.0,3.2
Crush Crush,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,66.5,1 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Rockefeller - The Black Gold,Windows Vista 32-bit,Windows XP 32-bit,DirectX 10,3 GB,66.5,3 GB,90.0,1.0,1.85,65.0,66.5,384.0,750.0,9.5,2.0,4.0,40.0
Yu-Gi-Oh! Online: Duel Evolution,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,36.0,2 GB,180.0,1.0,1.85,65.0,36.0,320.0,550.0,9.5,1.0,2.5,6.8
Yelaxot,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Creeper World 3: Arc Eternal,Windows XP 32-bit,Windows Vista 32-bit,DirectX 9,1.5 GB,66.5,1 GB,155.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Subsistence,Windows 7 32-bit,Windows 7 64-bit,DirectX 9,1.5 GB,69.5,1.5 GB,65.0,2.0,2.9,38.5,69.5,768.0,450.0,11.05,11.0,19.0,57.6
Classified Stories: The Tome of Myrkah,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,8 GB,33.5,8 GB,48.5,3.0,3.35,27.0,33.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Party of Sin,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,0MB,72.0,0MB,65.0,2.0,3.115,45.0,72.0,128.0,721.5,10.5,4.0,14.0,23.1
Pandora: First Contact,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,1 GB,71.5,2 GB,65.0,2.0,2.5650000000000004,48.5,71.5,128.0,372.5,9.0,0.0,0.0,9.75
The Hat Man: Shadow Ward,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
XCOM: Enemy Within,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,20 GB,71.0,20 GB,65.0,2.0,2.5,55.0,71.0,384.0,600.0,10.0,3.0,7.0,19.2
Risk: Factions,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0,36.0,0,180.0,1.0,1.85,65.0,36.0,320.0,550.0,9.5,1.0,2.5,6.8
Nascar Racing Season 2003,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0,66.5,0,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Saviors,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Among The Sleep,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,2 GB,70.5,2 GB,65.0,2.0,2.45,45.0,70.5,128.0,683.5,10.05,3.5,6.0,21.85
Starmancer,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,0MB,70.5,1 GB,55.0,2.0,2.4,55.0,70.5,768.0,899.0,11.05,3.0,6.0,21.6
Battle Planet - Judgement Day,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,36.5,2 GB,27.0,3.0,3.1500000000000004,18.0,36.5,1024.0,1026.0,11.0,27.5,51.5,131.35000000000002
Cannibal Cuisine,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,1 GB,70.0,1 GB,55.0,2.0,2.85,38.5,70.0,1024.0,1150.0,11.05,15.0,34.0,107.2
Risen 2: Treasure Isle,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,36.0,1 GB,77.5,2.0,3.2,45.0,36.0,640.0,865.0,10.55,7.0,11.0,40.95
Online Dragon Ball,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
SOS,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,8 GB,36.5,8 GB,65.0,2.0,3.75,27.0,36.5,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998
Enemy Mind,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Long Gone Days,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,10 GB,32.5,10 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
BattleTech,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,30 GB,36.5,30 GB,38.5,2.5,3.5,27.0,36.5,1024.0,1101.0,11.0,26.5,60.5,140.95
What The Golf?,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,1 GB,70.5,1 GB,55.0,4.0,2.53,55.0,70.5,1536.0,1025.0,11.5,13.5,28.5,51.2
Sentinels of Freedom,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,6 GB,36.5,6 GB,55.0,2.0,2.9000000000000004,55.0,36.5,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998
Dead Island 2,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,40 GB,36.5,40 GB,38.5,3.0,3.75,27.0,36.5,2048.0,1487.5,11.6,17.5,53.5,95.2
Priest Simulator,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,10 GB,36.0,10 GB,17.0,2.0,3.35,17.0,36.0,1024.0,1626.0,11.55,22.0,75.0,72.1
Hero Generations: ReGen,Windows Vista 32-bit,Windows Vista 32-bit,DirectX 9,0,66.5,0,130.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Idol Hands,Windows 7 32-bit,Windows 7 64-bit,DirectX 11,0MB,35.5,0MB,38.5,3.0,2.615,45.0,35.5,1024.0,783.5,10.55,3.0,3.0,25.05
Dino Run,Windows Vista 32-bit,Windows XP 32-bit,DirectX 9,0MB,0.0,0MB,180.0,1.0,2.1815,130.0,0.0,160.0,316.0,8.0,0.0,0.0,2.5
Abyss Odyssey,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,4 GB,71.5,4 GB,65.0,2.0,2.8,38.5,71.5,640.0,968.5,10.05,15.0,29.5,97.4
Narcos: Rise of the Cartels,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,12 GB,0.0,12 GB,38.5,3.0,3.5,14.0,0.0,1024.0,1012.5,11.0,23.5,33.0,113.2
Horizon,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,36.0,2 GB,180.0,1.0,1.85,65.0,36.0,320.0,550.0,9.5,1.0,2.5,6.8
Darksiders,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,12 GB,66.0,12 GB,90.0,1.0,2.415,65.0,66.0,128.0,500.0,9.0,1.5,1.5,27.2
The Riftbreaker,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,8 GB,36.5,8 GB,38.5,3.5,3.45,23.0,36.5,1536.0,1325.0,11.2,23.5,47.0,129.6
Defenders of Time,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
"I Love You, Colonel Sanders!",Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,36.5,0,55.0,2.0,2.9000000000000004,55.0,36.5,768.0,950.0,11.05,5.0,11.0,39.2
Grimm Ep 22 - The Adventures of Thumbling,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Serial Cleaner,Windows 7 32-bit,Windows 7 64-bit,DirectX 9,2 GB,32.5,2 GB,65.0,2.0,3.2,33.5,32.5,768.0,864.0,10.05,15.5,21.0,81.8
The Secret Files 3,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,32.5,2 GB,155.0,1.0,2.4,90.0,32.5,256.0,387.5,9.55,1.0,1.0,6.2
Civilization V - Wonders of the Ancient World,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,8 GB,35.0,8 GB,65.0,2.0,2.215,65.0,35.0,256.0,600.0,9.5,1.5,3.0,27.2
Twin Peaks VR,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,10 GB,36.5,10 GB,27.0,6.0,3.55,18.0,36.5,4096.0,1751.5,12.0,53.5,152.5,224.2
Rogue Legacy,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,0.0,0MB,180.0,1.0,1.83,155.0,0.0,640.0,849.0,10.5,4.5,5.5,32.800000000000004
Weapon of Choice,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,10 GB,32.5,10 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
X-Plane 11,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,20 GB,0.0,20 GB,32.0,3.0,3.8,23.0,0.0,512.0,649.0,11.0,2.5,4.5,10.4
Battlefield 4: Final Stand,Windows Vista 32-bit,Windows 7 64-bit,DirectX 11,30 GB,65.0,30 GB,65.0,2.0,2.8,45.0,65.0,512.0,1013.0,10.05,11.0,23.0,64.85
Devil Daggers,Windows 7 32-bit,Windows 7 32-bit,,0MB,72.5,0,77.5,2.0,2.5,65.0,72.5,320.0,550.0,9.5,1.0,2.5,6.8
Top Gun: Hard Lock,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,8 GB,30.0,8 GB,55.0,2.0,2.68,55.0,30.0,640.0,849.0,10.5,4.5,5.5,32.800000000000004
Dawn of War II - The Last Stand,Windows XP 32-bit,Windows Vista 32-bit,DirectX 10,1 GB,66.5,1 GB,110.0,1.0,2.08,65.0,66.5,320.0,437.5,9.0,0.0,0.0,14.0
Angry Arrows,Windows Vista 32-bit,Windows 7 32-bit,DirectX 10,2 GB,32.5,2 GB,65.0,2.0,3.2,33.5,32.5,1024.0,800.0,10.6,5.5,16.0,18.4
Sims 3,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,7.5 GB,66.5,7.5 GB,155.0,1.0,2.05,65.0,66.5,192.0,137.5,9.0,0.0,0.0,4.4
Rawbots,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,3 GB,37.0,3 GB,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
Virtua Tennis 4,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,5 GB,66.5,5 GB,65.0,2.0,2.25,65.0,66.5,256.0,650.0,9.0,0.0,0.0,41.6
The Crew 2,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,55 GB,36.5,55 GB,32.0,5.0,3.35,18.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Receiver 2,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,4 GB,70.0,4 GB,38.5,3.0,2.85,38.5,70.0,2048.0,1275.0,11.15,22.5,49.0,120.0
Might and Magic: Dark Messiah,Windows XP 32-bit,0,DirectX 9,7 GB,0.0,0,180.0,1.0,2.5835,110.0,0.0,320.0,550.0,9.5,1.0,2.5,6.8
Unmechanical,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,32.5,1 GB,155.0,1.0,2.8,110.0,32.5,256.0,200.0,10.1,2.0,2.0,3.2
Boris and the Dark Survival,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,0MB,36.5,0MB,32.0,5.0,3.15,32.0,36.5,2560.0,1626.0,11.6,33.5,133.5,256.15
Endless Legend: Shadows,Windows Vista 64-bit,Windows 7 64-bit,DirectX 9,4 GB,36.5,4 GB,55.0,3.5,3.5,32.0,36.5,1024.0,950.0,11.5,23.5,37.5,121.6
Total War: Rome 2 Nomadic Tribes Culture Pack,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,35 GB,66.0,35 GB,65.0,2.0,2.95,38.5,66.0,384.0,750.0,10.05,3.0,7.0,17.6
Doctor Who: The Runaway,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,36.5,2 GB,27.0,6.0,3.65,27.0,36.5,4096.0,1501.5,11.6,63.5,137.5,272.2
Prius Anima Online,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,10 GB,32.5,10 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
The Marching Dead,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Watch Dogs 2: No Compromise,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,50 GB,64.0,50 GB,32.0,5.0,3.1500000000000004,27.0,64.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Wing Commander Saga: The Darkest Dawn,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,6 GB,0.0,6 GB,155.0,1.0,2.53,110.0,0.0,192.0,300.0,8.5,1.0,1.0,4.800000000000001
Combat Force,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,16 GB,0.0,16 GB,32.0,5.0,3.2,13.0,0.0,1024.0,950.0,11.5,23.5,37.5,121.6
The Elder Scrolls Online,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,85 GB,36.5,85 GB,32.0,3.0,3.5,32.0,36.5,1024.0,1001.0,11.0,25.0,40.5,128.15
Metal Gear Solid V: The Phantom Pain,Windows 7 64-bit,Windows 8 64-bit,DirectX 11,28 GB,36.5,28 GB,27.0,6.0,4.15,11.0,36.5,2048.0,1125.0,11.05,20.0,43.0,104.0
Train Sim World: CSX Heavy Haul,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,20 GB,36.5,0,27.0,5.0,3.5,18.0,36.5,2048.0,1375.0,11.2,23.5,58.5,132.8
Astra Exodus,Windows 8 64-bit,Windows 10 64-bit,DirectX 9,4 GB,36.5,4 GB,45.0,4.0,3.5,18.0,36.5,768.0,946.5,11.05,16.0,31.5,89.4
Homefront: The Revolution - Beyond the Walls,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,38 GB,36.5,38 GB,27.0,4.0,3.4,32.0,36.5,1536.0,1313.5,11.5,22.0,57.5,116.15
The Bug Butcher,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,10 GB,32.5,10 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Ether One,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,3 GB,37.0,3 GB,65.0,2.0,3.23,45.0,37.0,512.0,395.0,10.1,2.0,6.5,12.65
Omerta: City of Gangsters - The Japanese Incentive,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,5 GB,35.0,5 GB,77.5,2.0,2.165,65.0,35.0,320.0,750.0,10.0,5.0,16.0,30.4
Pro Evolution Soccer 2008,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,4 GB,0.0,4 GB,180.0,1.0,2.5,90.0,0.0,96.0,375.0,7.55,0.0,0.0,6.0
Moebius The Game,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,0,66.5,0,155.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Gensou Skydrift,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,3 GB,87.5,3 GB,55.0,4.0,3.1,27.0,87.5,512.0,1083.5,10.55,9.5,33.5,52.25
Kingdom Come: Deliverance,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,40 GB,52.5,40 GB,38.5,4.0,3.7,27.0,52.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Neverwinter Nights: Enhanced Edition,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,10 GB,32.5,10 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
WTCC 2010,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,4 GB,0.0,5 GB,130.0,1.0,2.5835,110.0,0.0,256.0,325.0,9.0,0.0,0.0,5.2
Formula Truck 2013,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Moonbase Commander,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,66.5,1 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Global Ops: Commando Libya,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,6 GB,37.0,6 GB,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
Wonkey Wizard,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Earth Defense Force: Iron Rain,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,24 GB,36.5,24 GB,23.0,5.0,3.45,18.0,36.5,1536.0,1425.0,11.15,16.5,49.5,91.2
Saints Row 3: Funtime!,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,10 GB,71.0,10 GB,65.0,2.0,2.65,55.0,71.0,320.0,815.0,10.05,9.0,18.5,45.75
Aircar,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,1.2 GB,0.0,1.2 GB,27.0,6.0,3.8,23.0,0.0,4096.0,1501.5,11.6,63.5,137.5,272.2
Anno 1800,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,60 GB,36.5,60 GB,27.0,5.0,3.5,18.0,36.5,2048.0,1438.5,11.55,30.0,106.5,184.15
The Alto Collection,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,0MB,32.5,0MB,65.0,2.0,3.2,33.5,32.5,768.0,950.0,10.5,17.5,35.5,92.8
Project Amalthea: Battlegrounds,Windows XP 32-bit,Windows 10 64-bit,DirectX 9,0MB,70.0,0MB,55.0,2.0,2.85,38.5,70.0,256.0,600.0,10.0,2.0,3.0,8.0
DARQ,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,3 GB,36.5,3 GB,38.5,3.0,3.7,32.0,36.5,704.0,949.5,10.05,14.0,33.5,113.55
Dead Space 4,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,10 GB,36.5,10 GB,77.5,2.0,2.465,55.0,36.5,384.0,445.0,9.0,0.0,0.0,22.25
Mega Man 11,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,15 GB,69.5,15 GB,33.5,2.5,2.9,38.5,69.5,2048.0,1012.5,12.0,11.5,24.5,50.4
Parkasaurus,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,3 GB,70.0,3 GB,55.0,3.0,2.85,38.5,70.0,768.0,900.0,11.05,5.5,13.0,21.6
Space Ship Alvue,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
