Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
The Quiet Man,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,40 GB,65.0,40 GB,38.5,4.0,2.9000000000000004,32.0,65.0,2048.0,1375.0,11.6,24.0,52.5,132.8
Grimm Ep 14 - Iron John,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
South Park: The Fractured But Whole - Danger Deck,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,30 GB,36.5,30 GB,32.0,4.0,3.75,27.0,36.5,2048.0,1225.0,11.1,22.5,44.5,116.8
Orion: Dino Beatdown,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,8 GB,35.0,8 GB,65.0,2.0,2.215,65.0,35.0,128.0,250.0,9.55,0.0,0.0,8.0
Dangerous,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,155.0,1.0,1.85,65.0,66.5,192.0,727.5,9.0,0.0,0.0,38.95
StarCrossed (2020),Windows 7 32-bit,Windows 10 64-bit,DirectX 10,1 GB,36.5,1 GB,27.0,6.0,3.35,27.0,36.5,1024.0,1112.5,11.0,18.0,31.5,87.6
Heat,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,70 GB,0.0,70 GB,18.0,4.0,3.8,13.0,0.0,4096.0,1751.5,12.0,43.0,102.5,168.2
Hearts of Iron IV: La Resistance,Windows 7 64-bit,Windows Vista 32-bit,DirectX 9,2 GB,67.5,2 GB,45.0,4.0,2.93,45.0,67.5,1152.0,918.5,11.0,23.5,43.0,130.95
Clustertruck,Windows 7 32-bit,Windows 7 64-bit,DirectX 9,0MB,32.5,0MB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Skellboy Refractured,Windows 7 64-bit,Windows 7 64-bit,DirectX 10,1 GB,0.0,1 GB,45.0,2.0,3.515,29.5,0.0,320.0,550.0,9.5,1.0,2.5,6.8
Tides of Existence,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,15 GB,52.5,15 GB,38.5,4.0,3.7,27.0,52.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Hotel Endless,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Where Angels Cry,Windows XP 32-bit,Windows XP 32-bit,DirectX 10,1 GB,0.0,1 GB,155.0,1.0,2.9,77.5,0.0,128.0,600.0,10.0,2.0,3.0,3.2
To Be or Not To Be,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Spacies,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
